StopId,Name
NSR:StopPlace:74,Røra stasjon
NSR:StopPlace:77,Røkland stasjon
NSR:StopPlace:8,Paradis stasjon
NSR:StopPlace:70,Rygge stasjon
NSR:StopPlace:71,Hallingskeid stasjon
NSR:StopPlace:1,Drangedal stasjon
NSR:StopPlace:6,Greverud stasjon
NSR:StopPlace:3,Gudå stasjon
NSR:StopPlace:4,Otta stasjon
NSR:StopPlace:63,Eidsberg stasjon
NSR:StopPlace:64,Rakkestad stasjon
NSR:StopPlace:60,Rosenholm stasjon
NSR:StopPlace:51,Haga stasjon
NSR:StopPlace:53,Røros stasjon
NSR:StopPlace:54,Røstad stasjon
NSR:StopPlace:57,Rotvoll stasjon
NSR:StopPlace:49,Rognan stasjon
NSR:StopPlace:41,Hanaborg stasjon
NSR:StopPlace:42,Reimegrend stasjon
NSR:StopPlace:44,Drevvatn stasjon
NSR:StopPlace:38,Ronglan stasjon
NSR:StopPlace:31,Rognes stasjon
NSR:StopPlace:35,Rise stasjon
NSR:StopPlace:25,Dunderland stasjon
NSR:StopPlace:27,Rånåsfoss stasjon
NSR:StopPlace:29,Gyland stasjon
NSR:StopPlace:20,Reitan stasjon
NSR:StopPlace:23,Rena stasjon
NSR:StopPlace:17,Ringebu stasjon
NSR:StopPlace:18,Gulskogen stasjon
NSR:StopPlace:11,Drammen stasjon
NSR:StopPlace:12,Porsgrunn stasjon
NSR:StopPlace:372,Valnesfjord stasjon
NSR:StopPlace:493,Blommenholm stasjon
NSR:StopPlace:250,Nelaug stasjon
NSR:StopPlace:253,Hegra stasjon
NSR:StopPlace:132,Stokke stasjon
NSR:StopPlace:374,Göteborg Centralstation
NSR:StopPlace:255,Frogner stasjon
NSR:StopPlace:254,Nerdrum stasjon
NSR:StopPlace:375,Langhus stasjon
NSR:StopPlace:133,Heia stasjon
NSR:StopPlace:496,Öxnered station
NSR:StopPlace:136,Skien stasjon
NSR:StopPlace:259,Holmestrand stasjon
NSR:StopPlace:58415,Oteråga stasjon
NSR:StopPlace:260,Nesbyen stasjon
NSR:StopPlace:380,Arendal stasjon
NSR:StopPlace:141,Hell stasjon
NSR:StopPlace:261,Ganddal stasjon
NSR:StopPlace:382,Lindeberg stasjon
NSR:StopPlace:140,Skoppum stasjon
NSR:StopPlace:143,Evenstad stasjon
NSR:StopPlace:385,Alna stasjon
NSR:StopPlace:384,Vestby stasjon
NSR:StopPlace:263,Nordagutu stasjon
NSR:StopPlace:144,Skansen stasjon
NSR:StopPlace:268,Hauerseter stasjon
NSR:StopPlace:388,Lilleby stasjon
NSR:StopPlace:149,Hellvik stasjon
NSR:StopPlace:269,Oslo Lufthavn stasjon
NSR:StopPlace:148,Skatval stasjon
NSR:StopPlace:390,Verdal stasjon
NSR:StopPlace:271,Lademoen stasjon
NSR:StopPlace:392,Alvdal stasjon
NSR:StopPlace:152,Skøyen stasjon
NSR:StopPlace:393,Leangen stasjon
NSR:StopPlace:151,Evanger stasjon
NSR:StopPlace:275,Namsskogan stasjon
NSR:StopPlace:396,Vevelstad stasjon
NSR:StopPlace:274,Hunderfossen stasjon
NSR:StopPlace:398,Arna stasjon
NSR:StopPlace:155,Selsbakk stasjon
NSR:StopPlace:158,Hønefoss stasjon
NSR:StopPlace:279,Nordstrand stasjon
NSR:StopPlace:157,Lysaker stasjon
NSR:StopPlace:159,Eidsvoll stasjon
NSR:StopPlace:282,Gausel stasjon
NSR:StopPlace:161,Lønsdal stasjon
NSR:StopPlace:163,Lørenskog stasjon
NSR:StopPlace:283,Notodden stasjon
NSR:StopPlace:288,Nationaltheatret stasjon
NSR:StopPlace:167,Haugenstua stasjon
NSR:StopPlace:166,Eidsvoll Verk stasjon
NSR:StopPlace:287,Hauketo stasjon
NSR:StopPlace:169,Løten stasjon
NSR:StopPlace:289,Gullhella stasjon
NSR:StopPlace:291,Nisterud stasjon
NSR:StopPlace:295,Hvalstad stasjon
NSR:StopPlace:173,Majavatn stasjon
NSR:StopPlace:297,Neslandsvatn stasjon
NSR:StopPlace:176,Fauske stasjon
NSR:StopPlace:175,Hjerkinn stasjon
NSR:StopPlace:296,Gjerstad stasjon
NSR:StopPlace:177,Marnardal stasjon
NSR:StopPlace:180,Meråker stasjon
NSR:StopPlace:183,Mjølfjell stasjon
NSR:StopPlace:187,Mjøndalen stasjon
NSR:StopPlace:186,Fetsund stasjon
NSR:StopPlace:192,Halden stasjon
NSR:StopPlace:191,Moelv stasjon
NSR:StopPlace:195,Mo i Rana stasjon
NSR:StopPlace:199,Moi stasjon
